offer,text,price,on_stock,x,y,z,link
buy,Splash Potion | of Healing 2,2.45,1.0,-2021,71,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2021,71,514;6"
buy,PVP potion kit | 1 of each!,10.0,1.0,-2022,71,513,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2022,71,513;6"
buy,Potion of Fire | Resistance 8min,2.95,1.0,-2020,71,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2020,71,514;6"
buy,Splash Potion | of Strength 2,1.9500000000000002,1.0,-2018,71,513,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2018,71,513;6"
buy,Wither Rose x16 | N/A,12.0,1.0,-2022,75,513,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2022,75,513;6"
buy,Splash Potion | of Invisibility 8min,2.95,1.0,-2019,71,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2019,71,514;6"
buy,Splash Potion | of Speed 2,1.45,1.0,-2022,71,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2022,71,514;6"
buy,Hot Pirate Tea | Regen II 30 sec,10.0,1.0,-1993,74,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1993,74,525;6"
buy,Creamy | Pumpkin-Spice,20.0,1.0,-2008,74,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-2008,74,525;6"
buy,64 | Sugarcane,1.5,1.0,-1986,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1986,84,522;6"
buy,32 | Beetroots,1.0,1.0,-1986,84,521,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1986,84,521;6"
buy,1 | Mjolnir,2500.0,0.0,-1985,70,521,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1985,70,521;6"
buy,16 | Chicken Eggs,0.9500000000000001,1.0,-1986,84,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1986,84,520;6"
buy,1 | Beacon,750.0,0.0,-1985,70,520,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1985,70,520;6"
buy,1 | Honey Bottle,2.0,1.0,-1989,71,518,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1989,71,518;6"
buy,16 | Iron Ingots,9.0,1.0,-1962,79,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,79,523;6"
buy,64 | Bones,0.05,1.0,-1964,84,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,84,514;6"
buy,16 | Coal,1.5,1.0,-1962,77,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,77,523;6"
buy,64 | Sticks,0.5,1.0,-1964,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1964,84,522;6"
buy,64 | Sand,2.5,1.0,-1963,70,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,70,514;6"
buy,32 | Feathers,3.0,1.0,-1976,84,516,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1976,84,516;6"
buy,32 | Acacia Log,3.0,1.0,-1963,70,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,70,522;6"
buy,64 | String,2.5,1.0,-1963,84,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,84,514;6"
buy,64 | Netherrack,0.5,1.0,-1975,79,516,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,79,516;6"
buy,8 | Obsidian,7.5,0.0,-1975,77,516,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1975,77,516;6"
buy,16 | Leather,7.0,1.0,-1963,84,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1963,84,522;6"
buy,64 | Stone,1.1,1.0,-1962,70,514,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1962,70,514;6"
